,name,artists,peak_position,weeks_on_chart,week,date,genre,features
81405,Ten Rounds With Jose Cuervo,Tracy Byrd,26.0,20.0,11/12/02,,Country,
81429,"Don't Say No, Just Say Yes",Avant,96.0,4.0,11/12/02,26-Mar-02,R&;B,
81472,No Such Thing,John Mayer,13.0,24.0,11/5/02,,"Adult Alternative,Adult Contemporary,Pop-Rock,Rock",
81514,Downfall,TRUSTcompany,91.0,4.0,11/5/02,,"Nu-Metal,Rock",
81516,The One You Love,Paulina Rubio,97.0,3.0,11/5/02,20-Aug-02,Pop,
81518,In Da Wind,Trick Daddy,70.0,18.0,11/5/02,25-Jun-02,Rap,Cee
81519,Electrical Storm,U2,77.0,7.0,11/5/02,21-Oct-02,Rock,
81548,Nothin',N.O.R.E.,10.0,24.0,10/29/02,14-May-02,"East Coast,Hip-Hop,Rap",
81596,Long Time Gone,Dixie Chicks,7.0,20.0,10/29/02,17-May-02,Country,
81598,Objection,Shakira,55.0,9.0,10/29/02,6-Jul-02,"Pop-Rock,Rock",
81606,Sweetness,Jimmy Eat World,75.0,14.0,10/29/02,3-Jun-02,Rock,
81607,Are We Cuttin',Pastor Troy,96.0,5.0,10/29/02,23-Jul-02,Rap,Ms. Jade
81641,Hot In Herre,Nelly,1.0,26.0,10/22/02,16-Apr-02,"Funk,Hip-Hop,Go-Go,Pop,Rap",
81644,Soak Up The Sun,Sheryl Crow,17.0,29.0,10/22/02,25-Mar-02,"Adult Alternative,Producer,Singer-Songwriter,Adult Contemporary,Pop-Rock,Pop,Country,Rock",
81663,Where Are You Going,Dave Matthews Band,39.0,20.0,10/22/02,16-Jul-02,"Alternative,Alternative Rock,Rock",
81674,By The Way,Red Hot Chili Peppers,34.0,20.0,10/22/02,10-Jun-02,"Funk Rock,Alternative Rock,Rock",
81675,I Miss My Friend,Darryl Worley,28.0,20.0,10/22/02,1-Jan-02,Country,
81695,When You Lie Next To Me,Kellie Coffey,54.0,18.0,10/22/02,,Pop,
81734,The Impossible,Joe Nichols,29.0,21.0,10/15/02,,Country,
81745,The Good Stuff,Kenny Chesney,22.0,20.0,10/15/02,23-Apr-02,"Country,Rock",
81781,Feel It Boy,Beenie Man,28.0,12.0,10/15/02,25-Jun-02,"R&;B,Reggae,Soul Pop,Pop,Dancehall,Rap",Janet
81782,She Was,Mark Chesnutt,62.0,11.0,10/15/02,5-Feb-02,Country,
81821,Just A Friend 2002,Mario,4.0,21.0,10/8/02,21-Feb-02,"R&;B,Rap",
81857,Big Machine,Goo Goo Dolls,64.0,6.0,10/8/02,,Rock,
81860,My Friends Over You,New Found Glory,85.0,6.0,10/8/02,11-Jun-02,Rock,
81862,Love At First Sight,Kylie Minogue,23.0,16.0,10/8/02,10-Jun-02,"House,Electronic,Dance-Pop,Pop",
81864,Steve McQueen,Sheryl Crow,88.0,5.0,10/8/02,8-Apr-02,Country,
81865,Why Don't We Fall In Love,Amerie,23.0,19.0,10/8/02,29-Apr-02,R&;B,
81870,The Rising,Bruce Springsteen,52.0,11.0,10/8/02,24-Jun-02,"Adult Alternative,Singer-Songwriter,Adult Contemporary,Heartland Rock,Rock",
81943,Grindin',Clipse,30.0,20.0,10/1/02,14-May-02,"Hip-Hop,East Coast,Hardcore Hip-Hop,Gangsta Rap,Gaming,Soundtrack,Rap",
81950,Walking Away,Craig David,44.0,20.0,10/1/02,31-Oct-00,"UK,R&;B",
81954,She Loves Me Not,Papa Roach,76.0,12.0,10/1/02,4-Jun-02,"Rap,Nu-Metal,Rock",
81955,Call Me,Tweet,31.0,19.0,10/1/02,28-May-02,Rock,
81958,I've Got You,Marc Anthony,81.0,14.0,10/1/02,,Rock,
81959,Out Of My Heart,BBMak,56.0,8.0,10/1/02,,Pop,
82003,I'm Gonna Be Alright,Jennifer Lopez,10.0,23.0,9/24/02,1-Jul-02,"Pop,Remix,R&;B,Rap",Nas
82039,Hate To Say I Told You So,The Hives,86.0,11.0,9/24/02,4-Dec-00,"Indie Rock,Punk Rock,Soundtrack,Alternative Rock,Garage Punk,Rock",
82042,Tainted,Slum Village,87.0,11.0,9/24/02,13-Aug-02,Rap,Dwele
82048,Put Me Down,Donell Jones,98.0,3.0,9/24/02,4-Jun-02,R&;B,
82084,Still Fly,Big Tymers,11.0,24.0,9/17/02,12-Mar-02,Rap,
82093,Foolish,Ashanti,1.0,32.0,9/17/02,29-Jan-02,"Soul,R&;B",
82122,Someone To Love You,Ruff Endz,49.0,20.0,9/17/02,11-Feb-02,R&;B,
82129,All Eyez On Me,Monica,69.0,7.0,9/17/02,17-Jun-02,R&;B,
82131,Full Moon,Brandy,18.0,20.0,9/17/02,1-Apr-02,R&;B,
82134,Way Of Life,Lil Wayne,71.0,12.0,9/17/02,3-May-02,Rap,
82177,Wherever You Will Go,The Calling,5.0,45.0,9/10/02,4-Jun-01,"Screen,Soundtrack,Pop,Rock",
82210,I'm Gonna Miss Her,Brad Paisley,29.0,20.0,9/10/02,,"Country,Rock",
82224,Tonight I Wanna Be Your Man,Andy Griggs,52.0,12.0,9/10/02,,Country,
82260,Oh Boy,Cam'Ron,4.0,21.0,9/3/02,2-Apr-02,Rap,Juelz Santana
82266,halfcrazy,Musiq,16.0,25.0,9/3/02,29-Jan-02,R&;B,
82269,Blurry,Puddle Of Mudd,5.0,38.0,9/3/02,29-Oct-01,"Post-Grunge,Rock",
82304,You Know That I Love You,Donell Jones,54.0,20.0,9/3/02,4-Jun-02,R&;B,
82308,Whatchulookinat,Whitney Houston,96.0,3.0,9/3/02,17-Sep-02,"Pop,Soul Pop,Soul,R&;B",
82309,Blue Jeans,Yasmeen,97.0,4.0,9/3/02,,Rap,Ghostface Killah
82352,All You Wanted,Michelle Branch,6.0,28.0,8/27/02,18-Jan-18,"Pop-Punk,Rock",
82355,Wasting My Time,Default,13.0,35.0,8/27/02,25-Sep-01,"Alternative Rock,Hard Rock,Post-Grunge,Rock",
82358,Addictive,Truth Hurts,9.0,20.0,8/27/02,23-Apr-02,"R&;B,Rap",Rakim
82359,Hella Good,No Doubt,13.0,20.0,8/27/02,11-Dec-01,"Funk,Funk Rock,Dance-Pop,Dance,Electronic Rock,Pop,Rock",
82398,For All Time,Soluna,72.0,11.0,8/27/02,,"En Espa\xc3\xb1ol,Pop",
82399,Not A Day Goes By,Lonestar,36.0,17.0,8/27/02,,Country,
82441,What's Luv?,Fat Joe,2.0,28.0,8/20/02,5-Feb-02,"R&;B,Rap",Ashanti
82484,What If A Woman,Joe,63.0,16.0,8/20/02,19-Feb-02,R&;B,
82489,Where Do We Go From Here,Filter,94.0,5.0,8/20/02,1-Jan-02,Rock,
82544,Living And Living Well,George Strait,27.0,20.0,8/13/02,4-Feb-02,Country,
82556,I Don't Have To Be Me,Steve Azar,35.0,20.0,8/13/02,1-Oct-01,Pop,
82565,Gots Ta Be,B2K,34.0,17.0,8/13/02,26-Feb-02,"R&;B,Rap",
82570,My Heart Is Lost To You,"Brooks, Dunn",48.0,13.0,8/13/02,8-Apr-02,Country,
82574,Quitame Ese Hombre,Pilar Montenegro,74.0,13.0,8/13/02,,"En Espa\xc3\xb1ol,Pop",
82575,Don't Say Goodbye,Paulina Rubio,41.0,16.0,8/13/02,31-May-02,Pop,
82621,How You Remind Me,Nickelback,1.0,49.0,8/6/02,21-Aug-01,"Alternative Rock,Hard Rock,Post-Grunge,Rock",
82651,Rainy Dayz,Mary J. Blige,12.0,20.0,8/6/02,5-Nov-01,"Soul,Soul Pop,Pop,R&;B,Rap",Ja Rule
82656,Help Me Understand,Trace Adkins,80.0,4.0,8/6/02,9-Oct-01,Country,
82661,Give It To Her,"Tanto Metro, Devonte",85.0,20.0,8/6/02,,"Jamaica,Dancehall,Pop",
82665,Here To Stay,Korn,72.0,12.0,8/6/02,11-Jun-02,"Metal,Hard Rock,Alternative Metal,Nu-Metal,Rock",
82707,U Don't Have To Call,Usher,3.0,26.0,7/30/02,7-Aug-01,"Neo Soul,Soul Pop,Soul,Hip-Hop,Pop,R&;B",
82737,Here Is Gone,Goo Goo Dolls,18.0,20.0,7/30/02,5-Mar-02,Rock,
82742,Makin' Good Love,Avant,27.0,20.0,7/30/02,26-Mar-02,R&;B,
82750,Say I Yi Yi,Ying Yang Twins,56.0,14.0,7/30/02,22-Feb-02,"Dirty South,Rap",
82796,Don't Let Me Get Me,P!nk,8.0,21.0,7/23/02,19-Feb-02,"Pop-Rock,Pop,Rock",
82809,Underneath Your Clothes,Shakira,9.0,20.0,7/23/02,2-Feb-02,"Pop-Rock,Rock",
82826,Too Bad,Nickelback,42.0,20.0,7/23/02,,Rock,
82832,I Should Be Sleeping,Emerson Drive,35.0,20.0,7/23/02,,Country,
82841,Toxicity,System Of A Down,70.0,13.0,7/23/02,4-Sep-01,"Alternative Rock,Nu-Metal,Heavy Metal,Alternative Metal,Metal,Rock",
82842,Wish I Didn't Miss You,Angie Stone,79.0,19.0,7/23/02,24-Jan-02,"Neo Soul,Soul,R&;B",
82927,Awnaw,Nappy Roots,51.0,20.0,7/16/02,4-Dec-01,"Dirty South,Alternative,Hip-Hop,Rap",
82973,More Than A Woman,Aaliyah,25.0,24.0,7/9/02,7-Jul-01,"Pop,R&;B",
82986,Pass The Courvoisier Part II,Busta Rhymes,11.0,20.0,7/9/02,12-Feb-02,Rap,"P. Diddy, Pharrell"
83001,A New Day Has Come,Celine Dion,22.0,20.0,7/9/02,11-Mar-02,"Pop,Rock",
83013,Black Suits Comin',Will Smith,77.0,3.0,7/9/02,,Pop,Tra
83017,One Mic,Nas,43.0,13.0,7/9/02,18-Dec-01,"Beef,Rap",
83018,I Don't Want You To Go,Carolyn Dawn Johnson,54.0,10.0,7/9/02,,Pop,
83068,Anything,Jaheim,28.0,20.0,7/2/02,13-Mar-01,R&;B,Next
83071,Escape,Enrique Iglesias,12.0,20.0,7/2/02,23-Jan-02,"Latin Pop,Dance-Pop,Pop",
83088,What If She's An Angel,Tommy Shane Steiner,39.0,20.0,7/2/02,1-Jan-02,Country,
83095,That's When I Love You,Phil Vassar,37.0,20.0,7/2/02,,Pop,
83108,Crawling In The Dark,Hoobastank,68.0,19.0,7/2/02,20-Nov-01,"Alternative Rock,Rock",
83109,Guess Who's Back,Scarface,79.0,8.0,7/2/02,6-Aug-02,Rap,Jay
83148,Ain't It Funny,Jennifer Lopez,1.0,27.0,6/25/02,4-Mar-02,"Remix,Rap,Pop,R&;B",Ja Rule
83165,My List,Toby Keith,26.0,20.0,6/25/02,,"Country,Rock",
83196,Roc The Mic,"Beanie Sigel, Freeway",55.0,19.0,6/25/02,,Rap,
83197,This Woman's Work,Maxwell,58.0,15.0,6/25/02,14-Aug-01,R&;B,
83273,Young,Kenny Chesney,35.0,20.0,6/18/02,31-Dec-01,"Country,Rock",
83281,"I Breathe In, I Breathe Out",Chris Cagle,35.0,20.0,6/18/02,,Pop,
83365,Hands Clean,Alanis Morissette,23.0,20.0,6/11/02,8-Jan-02,Rock,
83368,Youth Of The Nation,P.O.D.,28.0,19.0,6/11/02,25-Dec-01,"Alternative Rock,Alternative Metal,Rap Rock,Rock,Rap",
83445,Can't Get You Out Of My Head,Kylie Minogue,7.0,20.0,6/4/02,8-Sep-01,"Australia,Dance-Pop,Electronic,Dance,Pop",
83456,I'm Movin' On,Rascal Flatts,41.0,19.0,6/4/02,6-Jun-00,Country,
83458,Modern Day Bonnie And Clyde,Travis Tritt,55.0,11.0,6/4/02,7-Jan-02,Country,
83462,Video,India.Arie,47.0,31.0,6/4/02,6-Feb-01,"Soul,R&;B",
83510,Uh Huh,B2K,37.0,22.0,5/28/02,17-Jul-01,"Boy Band,Rap,Hip-Hop,R&;B,Pop",
83543,How Come You Don't Call Me,Alicia Keys,59.0,9.0,5/28/02,4-Jun-02,"Soul Pop,Pop,Soul,R&;B",
83545,Take A Message,Remy Shand,89.0,6.0,5/28/02,,Pop,
83555,Rapture,iio,46.0,15.0,5/28/02,29-Oct-01,"Dance-Pop,Pop",
83556,Sugarhigh,Jade Anderson,96.0,2.0,5/28/02,,Pop,
83621,Blessed,Martina McBride,31.0,20.0,5/21/02,22-Oct-02,Country,
83636,The Cowboy In Me,Tim McGraw,33.0,20.0,5/21/02,24-Apr-01,"Country,Rock",
83639,That's Just Jessie,Kevin Denney,76.0,17.0,5/21/02,8-Dec-01,Pop,
83642,Take Ya Home,Lil Bow Wow,72.0,7.0,5/21/02,18-Dec-01,Rap,
83643,What About Us?,Brandy,7.0,18.0,5/21/02,1-Jan-02,"R&;B,Pop",
83644,Some Days You Gotta Dance,Dixie Chicks,55.0,19.0,5/21/02,,"Blues Rock,Blues,Country",
83648,Overprotected,Britney Spears,86.0,5.0,5/21/02,12-Dec-01,"Teen Pop,Dance-Pop,Pop",
83649,Whoa Now,B Rich,98.0,2.0,5/21/02,,Rap,
83691,Always On Time,Ja Rule,1.0,27.0,5/14/02,30-Oct-01,Rap,Ashanti
83725,Nothing In This World,KeKe Wyatt,27.0,20.0,5/14/02,13-Nov-01,R&;B,Avant
83736,Chop Suey,System Of A Down,76.0,20.0,5/14/02,13-Aug-01,"Rap Rock,Speed Metal,Heavy Metal,Metal,Nu-Metal,Alternative Metal,Rock",
83738,I Told Y'all,Petey Pablo,94.0,3.0,5/14/02,,Rap,
83739,Take You Home With Me a.k.a. Body,"R. Kelly, Jay",81.0,8.0,5/14/02,26-Mar-02,Rap,
83787,My Sacrifice,Creed,4.0,29.0,5/7/02,15-Oct-01,"Hard Rock,Rock",
83832,Any Other Night,Sharissa,72.0,14.0,5/7/02,,"R&;B,Pop",
83833,Song For The Lonely,Cher,85.0,6.0,5/7/02,19-Mar-02,"Electro-Pop,Electronic,Dance-Pop,Dance,Pop",
83867,Can't Fight The Moonlight,LeAnn Rimes,11.0,42.0,4/30/02,22-Aug-00,Pop,
83877,Family Affair,Mary J. Blige,1.0,41.0,4/30/02,12-Jun-01,"Soul Pop,Pop,R&;B",
83879,"Lights, Camera, Action!",Mr. Cheeks,14.0,30.0,4/30/02,12-Aug-01,Rap,
83886,The Whole World,OutKast,19.0,20.0,4/30/02,27-Nov-01,"Atlanta,Dirty South,Hip-Hop,Rap",Killer Mike
83908,The Long Goodbye,"Brooks, Dunn",39.0,20.0,4/30/02,22-Oct-01,Country,
83922,Hey Luv,Mobb Deep,58.0,15.0,4/30/02,11-Dec-01,"R&;B,Rap",112
83927,Be Here,Raphael Saadiq,99.0,2.0,4/30/02,11-Jun-02,"Neo Soul,Soul Pop,Pop,Soul,R&;B",D'Angelo
83961,U Got It Bad,Usher,1.0,32.0,4/23/02,7-Aug-01,"Neo Soul,Soul Pop,Soul,R&;B",
83998,No More Drama,Mary J. Blige,15.0,20.0,4/23/02,28-Aug-01,"Soul Pop,Pop,Soul,R&;B",
84011,No Matta What,Toya,86.0,7.0,4/23/02,,Pop,
84016,The World's Greatest,R. Kelly,34.0,18.0,4/23/02,18-Feb-03,"Soul,Soul Pop,Pop,R&;B",
84017,Closet Freak,Cee,98.0,3.0,4/23/02,23-Apr-02,"R&;B,Rap",
84019,Take Away,"Missy ""Misdemeanor"" Elliott",45.0,20.0,4/23/02,18-Oct-01,"Ballad,Neo Soul,Soul,Hip-Hop,R&;B","Ginuwine, Tweet"
84066,Hey Baby,No Doubt,5.0,20.0,4/16/02,29-Oct-01,"Dancehall,Pop,Rock",Bounty Killer
84070,7 Days,Craig David,10.0,20.0,4/16/02,24-Jul-00,"UK,R&;B,Pop",
84103,Feel The Girl,Ms. Jade,92.0,4.0,4/16/02,,Rap,
84108,Got Ur Self A...,Nas,87.0,19.0,4/16/02,4-Dec-01,"Beef,Rap",
84109,Wrong Impression,Natalie Imbruglia,64.0,8.0,4/16/02,29-Jan-02,"Pop-Rock,Rock,Pop",
84159,Don't You Forget It,Glenn Lewis,30.0,20.0,4/9/02,6-Nov-01,"R&;B,Neo Soul,Soul,Soul Pop,Pop",
84162,Young'n,Fabolous,33.0,20.0,4/9/02,24-Oct-01,Rap,
84164,Good Morning Beautiful,Steve Holy,29.0,20.0,4/9/02,16-Jul-01,Country,
84198,Insatiable,Darren Hayes,77.0,7.0,4/9/02,18-Jan-02,Pop,
84245,Get The Party Started,P!nk,4.0,24.0,4/2/02,9-Oct-01,"Dance-Pop,Dance,Pop",
84246,"Whenever, Wherever",Shakira,6.0,24.0,4/2/02,27-Aug-01,"Pop,Latin Pop,Rock",
84339,Butterflies,Michael Jackson,14.0,20.0,3/26/02,30-Oct-01,"Soul Pop,R&;B,Pop",
84348,Standing Still,Jewel,25.0,20.0,3/26/02,2-Oct-01,"Singer-Songwriter,Folk Rock,Folk,Adult Alternative,Adult Contemporary,Pop-Rock,Pop",
84362,Wrapped Around,Brad Paisley,35.0,20.0,3/26/02,,"Country,Rock",
84379,In Another World,Joe Diffie,66.0,11.0,3/26/02,,Pop,
84423,Caramel,City High,18.0,24.0,3/19/02,5-Nov-01,Pop,Eve
84438,Break Ya Neck,Busta Rhymes,26.0,20.0,3/19/02,25-Aug-01,Rap,
84459,Brotha,Angie Stone,52.0,20.0,3/19/02,16-Oct-01,"Soul,R&;B",
84508,Drops Of Jupiter,Train,5.0,53.0,3/12/02,20-Feb-01,"Adult Contemporary,Adult Alternative,Ballad,Pop-Rock,Pop,Rock",
84552,Just Let Me Be In Love,Tracy Byrd,64.0,10.0,3/12/02,,Pop,
84555,Defy You,The Offspring,77.0,11.0,3/12/02,,Rock,
84581,A Woman's Worth,Alicia Keys,7.0,20.0,3/5/02,12-Feb-02,"Neo Soul,Soul,Pop,R&;B",
84634,Wrapped Up In You,Garth Brooks,46.0,20.0,3/5/02,,"Country,Rock",
84637,Riding With Private Malone,David Ball,36.0,20.0,3/5/02,13-Aug-01,Country,
84641,Ooohhhwee,Master P,63.0,11.0,3/5/02,,Rap,Weebie
84642,Let's Stay Home Tonight,Joe,68.0,12.0,3/5/02,11-Dec-01,R&;B,
84700,Where The Stars And Stripes And The Eagle Fly,Aaron Tippin,20.0,20.0,2/26/02,17-Sep-01,Country,
84725,I'm Tryin',Trace Adkins,44.0,20.0,2/26/02,2-Jul-01,Country,
84770,It's Been Awhile,Staind,5.0,46.0,2/19/02,20-Mar-01,"Alternative Rock,Memes,Nu-Metal,Alternative Metal,Rock",
84771,Rock The Boat,Aaliyah,14.0,25.0,2/19/02,15-Jan-02,R&;B,
84792,I Wanna Talk About Me,Toby Keith,28.0,20.0,2/19/02,20-Aug-01,"Country,Rock",
84798,Dig In,Lenny Kravitz,31.0,20.0,2/19/02,13-Aug-01,Rock,
84816,Control,Puddle Of Mudd,68.0,20.0,2/19/02,17-Jul-01,Pop,
84846,Livin' It Up,Ja Rule,6.0,25.0,2/12/02,3-Jul-01,"Gangsta Rap,Hip-Hop,East Coast,Rap",Case
84849,Differences,Ginuwine,4.0,30.0,2/12/02,3-Apr-01,"Soul,Soul Pop,Pop,R&;B",
84899,Fatty Girl,"Ludacris, LL Cool J, Keith Murray",87.0,14.0,2/12/02,1-Jul-03,Rap,
84901,You Gets No Love,Faith Evans,38.0,20.0,2/12/02,17-Jul-01,"Soul,R&;B,Rap",
84943,Hanging By A Moment,Lifehouse,2.0,53.0,2/5/02,31-Oct-00,"Indie Rock,Alternative,Pop-Rock,Adult Alternative,Post-Grunge,Alternative Rock,Rock",
84970,Stuck In A Moment You Can't Get Out Of,U2,52.0,20.0,2/5/02,29-Jan-01,"Ireland,Rock",
84972,Emotion,Destiny's Child,10.0,20.0,2/5/02,1-May-01,"Adult Contemporary,Ballad,Cover,Soul Pop,Pop,R&;B",
84975,Son Of A Gun,Janet,28.0,12.0,2/5/02,11-Dec-01,"Pop,Remix,R&;B,Rap","Missy Elliott, P. Diddy, Carly Simon"
85017,Fallin',Alicia Keys,1.0,34.0,1/29/02,2-Apr-01,"Singer-Songwriter,East Coast,Ballad,Chart History,Piano,Soul,Soul Pop,Pop,R&;B",
85024,Turn Off The Light,Nelly Furtado,5.0,25.0,1/29/02,14-Aug-01,"Canada,Pop",
85029,I'm Real,Jennifer Lopez,1.0,31.0,1/29/02,4-Sep-01,"Remix,R&;B,Rap",Ja Rule
85068,My Sweet Lord,George Harrison,,,1/29/02,,"Christian,Soundtrack,Adult Alternative,Singer-Songwriter,Gospel,Folk Rock,Folk,British Rock,UK,Rock",
85069,With Me,Lonestar,63.0,15.0,1/29/02,13-Aug-01,Country,
85074,"Girls, Girls, Girls",JAY,17.0,17.0,1/29/02,2-Oct-01,"Producer,Rap",
85146,Love Of A Woman,Travis Tritt,39.0,20.0,1/22/02,11-Jun-01,Country,
85148,Dance With Me,112,39.0,20.0,1/22/02,,Rap,
85157,Love Of My Life,Brian McKnight,51.0,20.0,1/22/02,28-Aug-01,R&;B,
85159,I'm A Survivor,Reba,49.0,19.0,1/22/02,5-Jul-01,Country,
85161,What Am I Gonna Do,Tyrese,71.0,18.0,1/22/02,22-May-01,R&;B,
85213,Lifetime,Maxwell,22.0,20.0,1/15/02,14-Aug-01,R&;B,
85243,You Rock My World,Michael Jackson,10.0,20.0,1/15/02,22-Aug-01,"R&;B,Pop",
85247,God Bless The USA,Lee Greenwood,16.0,17.0,1/15/02,,Rock,
85305,Everywhere,Michelle Branch,12.0,20.0,1/8/02,17-Jul-01,"Pop-Rock,Pop",
85329,Ugly,Bubba Sparxxx,15.0,20.0,1/8/02,6-Aug-01,"Dirty South,Hip-Hop,Country Rap,Country,Rap",
85337,The Star Spangled Banner,Whitney Houston,6.0,27.0,1/8/02,,"R&;B,Rock",
85339,Never Too Far/Hero Medley,Mariah Carey,81.0,3.0,1/8/02,11-Dec-01,"R&;B,Pop",
85402,AM To PM,Christina Milian,27.0,20.0,1/1/02,24-Jul-01,"Dance-Pop,Pop,R&;B",
85411,Smooth Criminal,Alien Ant Farm,23.0,20.0,1/1/02,24-Jul-01,"Adult Alternative,Funk Rock,Hard Rock,Post-Grunge,Pop-Rock,Nu-Metal,Cover,Alternative Metal,Alternative Rock,Rock",
85427,God Bless America,Daniel Rodriguez,99.0,2.0,1/1/02,,Pop,
85470,Raise Up,Petey Pablo,25.0,21.0,12/25/01,29-May-01,Rap,
85504,Angry All The Time,Tim McGraw,38.0,20.0,12/25/01,24-Apr-01,"Country,Rock",
85509,Feelin' On Yo Booty,R. Kelly,36.0,19.0,12/25/01,7-Aug-01,"Soul Pop,Soul,Pop,R&;B",
85515,Who We Be,DMX,60.0,12.0,12/25/01,23-Oct-01,"Gangsta Rap,Rap",
85555,Hit 'Em Up Style,Blu Cantrell,2.0,34.0,12/18/01,31-Jul-01,"Pop,R&;B",
85599,Crawling,Linkin Park,79.0,20.0,12/18/01,1-Mar-01,"Rap Rock,Alternative,Alternative Rock,Alternative Metal,Memes,Nu-Metal,Rock",
85602,Every Other Time,LFO,44.0,18.0,12/18/01,27-Aug-01,"Boy Band,Pop",
85603,Fat Lip,Sum 41,66.0,12.0,12/18/01,22-Apr-01,"Gaming,Soundtrack,Punk Rock,Skate Punk,Rap,Canada,Pop-Punk,Rock",
85644,Where The Party At,Jagged Edge With Nelly,3.0,29.0,12/11/01,14-May-01,"Pop,Dirty South,Hip-Hop,R&;B,Rap",
85646,Be Like That,3 Doors Down,24.0,21.0,12/11/01,11-Jun-01,"Post-Grunge,Alternative Rock,Rock",
85683,I Would've Loved You Anyway,Trisha Yearwood,44.0,20.0,12/11/01,5-Jun-01,Pop,
85690,Angels In Waiting,Tammy Cochran,73.0,11.0,12/11/01,19-Mar-01,Pop,
85730,Let Me Blow Ya Mind,Eve,2.0,33.0,12/4/01,15-May-01,Rap,Gwen Stefani
85733,Fill Me In,Craig David,15.0,27.0,12/4/01,3-Apr-00,"UK,R&;B,Pop",
85750,Izzo,JAY,8.0,20.0,12/4/01,11-Sep-01,Rap,
85761,On A Night Like This,Trick Pony,47.0,20.0,12/4/01,13-Mar-01,Country,
85773,What's Going On,All Star Tribute,27.0,10.0,12/4/01,,Pop,
85774,Take You Out,Luther Vandross,26.0,17.0,12/4/01,4-May-01,R&;B,
85821,One Minute Man,"Missy ""Misdemeanor"" Elliott",15.0,21.0,11/27/01,22-Jun-01,"R&;B,Hip-Hop,Rap",
85828,Only In America,"Brooks, Dunn",33.0,20.0,11/27/01,18-Jun-01,"Country,Rap",
85833,Can't Deny It,Fabolous,25.0,20.0,11/27/01,,Rap,Nate Dogg
85858,I'm A Thug,Trick Daddy,17.0,20.0,11/27/01,20-Mar-01,Rap,
85861,I'm A Believer,Smash Mouth,25.0,20.0,11/27/01,,"Soundtrack,Cover,Pop-Rock,Rock",
85910,U Remind Me,Usher,1.0,24.0,11/20/01,19-May-01,"Soul Pop,Neo Soul,Soul,R&;B",
85957,Ballin' Out Of Control,Jermaine Dupri,95.0,5.0,11/20/01,30-Oct-01,Rap,Nate Dogg
85958,Castles In The Sky,Ian Van Dahl,91.0,10.0,11/20/01,,Pop,Marsha
86048,Set It Off,Juvenile,65.0,15.0,11/13/01,21-Jul-01,Rap,
86124,Just In Case,Jaheim,52.0,20.0,11/6/01,,R&;B,
86134,I'll Fly With You,Gigi D'Agostino,78.0,13.0,11/6/01,,"Dance-Pop,Memes,YouTube,Electro House,Electronic,Dance,Pop",
86187,Someone To Call My Lover,Janet,3.0,20.0,10/30/01,24-Apr-01,"R&;B,Pop",
86212,Schism,Tool,67.0,20.0,10/30/01,15-May-01,"Progressive Metal,Progressive Rock,Rock",
86221,Area Codes,Ludacris,24.0,17.0,10/30/01,26-Jun-01,Rap,Nate Dogg
86223,Clint Eastwood,Gorillaz,57.0,11.0,10/30/01,5-Mar-01,"British Rock,Piano,Rap Rock,Hip-Hop,Alternative,Alternative Rock,Rock,Trip-Hop,UK,Rap,Producer",
86225,Flavor Of The Weak,American Hi,41.0,20.0,10/30/01,7-Aug-01,"Pop-Punk,Punk Rock,Rock",
86268,When It's Over,Sugar Ray,13.0,22.0,10/23/01,15-May-01,Rock,
86274,Peaches & Cream,112,4.0,29.0,10/23/01,3-Apr-01,R&;B,
86310,Where The Blacktop Ends,Keith Urban,35.0,20.0,10/23/01,9-Apr-01,Country,
86363,The Space Between,Dave Matthews Band,22.0,23.0,10/16/01,27-Feb-01,"Alternative,Alternative Rock,Rock",
86366,Follow Me,Uncle Kracker,5.0,33.0,10/16/01,20-Feb-01,"Adult Contemporary,Pop-Rock,Pop Country,Country,Rock",
86390,Here's To The Night,Eve 6,30.0,20.0,10/16/01,22-May-01,"Pop-Rock,Alternative Rock,Rock",
86393,When I Think About Angels,Jamie O'Neal,35.0,20.0,10/16/01,19-Mar-00,Pop,
86402,Start The Commotion,The Wiseguys,31.0,12.0,10/16/01,,"Screen,Disney,Soundtrack,Pop",
86404,I Wanna Be Bad,Willa Ford,22.0,20.0,10/16/01,29-May-01,"Dance,Pop",
86410,Because I Got High,Afroman,13.0,10.0,10/16/01,20-Jun-00,"Comedy,Memes,Rap",
86449,What I Really Meant To Say,Cyndi Thomson,26.0,20.0,10/9/01,,Pop,
86489,Bad Boy For Life,"P. Diddy, Black Rob, Mark Curry",33.0,12.0,10/9/01,27-Nov-01,Rap,
86497,Music,Erick Sermon,22.0,20.0,10/9/01,12-Jun-01,"East Coast,Rap",Marvin Gaye
86499,Six,Pack Summer,56.0,10.0,10/9/01,1-Jan-01,Country,
86501,Bootylicious,Destiny's Child,1.0,19.0,10/9/01,1-May-01,"Pop,R&;B",
86542,Austin,Blake Shelton,18.0,20.0,10/2/01,16-Apr-01,"Country,Rock",
86582,There You'll Be,Faith Hill,10.0,20.0,10/2/01,1-May-01,"Pop,Country",
86592,More Than That,Backstreet Boys,27.0,20.0,10/2/01,29-May-01,"Boy Band,Pop",
86594,Shine,Lil' Wayne,96.0,3.0,10/2/01,19-Dec-00,Rap,"Baby, Mack 10, Mickey"
